Question,Ground Truth
Is Hirschsprung disease a mendelian or a multifactorial disorder?,"[""Coding sequence mutations in RET, GDNF, EDNRB, EDN3, and SOX10 are involved in the development of Hirschsprung disease. The majority of these genes was shown to be related to Mendelian syndromic forms of Hirschsprung's disease, whereas the non-Mendelian inheritance of sporadic non-syndromic Hirschsprung disease proved to be complex; involvement of multiple loci was demonstrated in a multiplicative model.""]"
List signaling molecules (ligands) that interact with the receptor EGFR?,"['The 7 known EGFR ligands  are: epidermal growth factor (EGF), betacellulin (BTC), epiregulin (EPR), heparin-binding EGF (HB-EGF), transforming growth factor-α [TGF-α], amphiregulin (AREG) and epigen (EPG).']"
Is the protein Papilin secreted?,"['Yes,  papilin is a secreted protein']"
Are long non coding RNAs spliced?,['Long non coding RNAs appear to be spliced through the same pathway as the mRNAs']
Is RANKL secreted from the cells?,['Receptor activator of nuclear factor κB ligand (RANKL) is a cytokine predominantly secreted by osteoblasts.']
Does metformin interfere thyroxine absorption?,['No. There are not reported data indicating that metformin reduce with thyroxine absorption.']
Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,"['miR-200a, miR-100, miR-141, miR-200b, miR-200c, miR-203, miR-510, miR-509-5p, miR-132, miR-26a, let-7b, miR-145, miR-182, miR-152, miR-148a, let-7a, let-7i, miR-21, miR-92 and miR-93 could be used as potential biomarkers for epithelial ovarian cancer.']"
Which acetylcholinesterase inhibitors are used for treatment of myasthenia gravis?,['Pyridostigmine and neostygmine are acetylcholinesterase inhibitors that are used as first-line therapy for symptomatic treatment of myasthenia gravis. Pyridostigmine is the most widely used acetylcholinesterase inhibitor. Extended release pyridotsygmine and novel acetylcholinesterase inhibitors inhibitors with oral antisense oligonucleotides are being studied.']
Has Denosumab (Prolia) been approved by FDA?,"['Yes, Denosumab was approved by the FDA in 2010.']"
List the human genes encoding for the dishevelled proteins?,['DVL-1\nDVL-2\nDVL-3']
Name synonym of Acrokeratosis paraneoplastica.,"['Acrokeratosis paraneoplastic (Bazex syndrome) is a rare, but distinctive paraneoplastic dermatosis characterized by erythematosquamous lesions located at the acral sites and is most commonly associated with carcinomas of the upper aerodigestive tract.']"
Which are the classes of anti-arrhythmic drugs according to Vaughan-Williams classification?,"['Antiarrhythmic drugs can be divided into four Vaughan Williams classes (I-IV). Class I antiarrhythmic agents have as a common action, blockade of the sodium channels. Class II agents are antisympathetic drugs, particularly the beta-adrenoceptor blockers. Class-III antiarrhythmics have as a common action the potassium-channel blockade. Class IV antiarrhythmic drugs are calcium channel blockers.']"
Which are the different isoforms of the mammalian Notch receptor?,"['Notch signaling is an evolutionarily conserved mechanism, used to regulate cell fate decisions. Four Notch receptors have been identified in man: Notch-1, Notch-2, Notch-3 and Notch-4.']"
Which are the major characteristics of cellular senescence?,"['The defining characteristics of cellular senescence are altered morphology, arrested cell-cycle progression, development of aberrant gene expression with proinflammatory behavior, and telomere shortening.']"
Orteronel was developed for treatment of which cancer?,['Orteronel was developed for treatment of castration-resistant prostate cancer.']
Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,"['Although is still controversial, Trastuzumab (Herceptin) can be of potential use in the treatment of prostate cancer overexpressing HER2, either alone or in combination with other drugs.']"
Which are the Yamanaka factors?,"['The Yamanaka factors are the OCT4, SOX2, MYC, and KLF4 transcription factors']"
What is the aim of the Human Chromosome-centric Proteome Project (C-HPP)?,"['The chromosome-centric human proteome project aims to systematically map all human proteins, chromosome by chromosome, in a gene-centric manner through dedicated efforts from national and international teams', 'The Chromosome-Centric Human Proteome Project (C-HPP) is an international effort for creating an annotated proteomic catalog for each chromosome. (PMID: 23312004) The chromosome-centric human proteome project aims to systematically map all human proteins, chromosome by chromosome, in a gene-centric manner through dedicated efforts from national and international teams. (PMID: 23308364) The Chromosome-centric Human Proteome Project (C-HPP) aims to systematically map the entire human proteome with the intent to enhance our understanding of human biology at the cellular level. (PMID: 23253012)']"
Where is the protein Pannexin1 located?,['The protein Pannexin1 is localized to the plasma membranes.']
Which currently known mitochondrial diseases have been attributed to POLG mutations?,"['Mutations in the POLG gene have emerged as one of the most common causes of inherited mitochondrial disease in children and adults. They are responsible for a heterogeneous group of at least 6 major phenotypes of neurodegenerative disease that include: 1) childhood Myocerebrohepatopathy Spectrum disorders (MCHS), 2) Alpers syndrome, 3) Ataxia Neuropathy Spectrum (ANS) disorders, 4) Myoclonus Epilepsy Myopathy Sensory Ataxia (MEMSA), 5) autosomal recessive Progressive External Ophthalmoplegia (arPEO), and 6) autosomal dominant Progressive External Ophthalmoplegia (adPEO).', 'Mutations in the POLG gene have emerged as one of the most common causes of inherited mitochondrial disease in children and adults. They are responsible for a heterogeneous group of at least 6 major phenotypes of neurodegenerative disease that include: 1) childhood Myocerebrohepatopathy Spectrum disorders (MCHS), 2) Alpers syndrome, 3) Ataxia Neuropathy Spectrum (ANS) disorders, 4) Myoclonus Epilepsy Myopathy Sensory Ataxia (MEMSA), 5) autosomal recessive Progressive External Ophthalmoplegia (arPEO), and 6) autosomal dominant Progressive External Ophthalmoplegia (adPEO)']"
What is the effect of ivabradine in heart failure after myocardial infarction?,"['Ιvabradine decreases heart rate and reduces myocardial oxygen demand, increases diastolic perfusion time and improves energetics in ischemic myocardium. Ivabradine protects the myocardium during ischemia, improves left ventricular function in heart failure and reduces remodeling following myocardial infarction. It improves prognosis in patients with coronary artery disease, left ventricular dysfunction and heart rate ≥70 beats per minute, as well as in patients with heart failure and left ventricular dysfunction. The beneficial effects of ivabradine may be due to the reversal of electrophysiological cardiac remodelling in post-MI rats by reduction of functional overexpression of HCN channels. Furthermore, the improvement of cardiac function is related not only to the HR reduction per se but also to modifications in the extracellular matrix.']"
What is the mode of inheritance of Wilson's disease?,"[""Wilson's disease (WD) is an autosomal recessive disorder.""]"
Are transcription and splicing connected?,"['Yes. There is strong evidence that splicing and transcription are intimately coupled in metazoans, with  genome wide surveys show that most splicing occurs during transcription. Chromatin structure, RNA polymerase dynamics, and recruitment of splicing factors through the transcriptional machinery are factors that explain a role for transcription in the regulation of splicing.']"
What is the mode of inheritance of Facioscapulohumeral muscular dystrophy (FSHD)?,['Facioscapulohumeral muscular dystrophy has an autosomal dominant inheritance pattern.']
Is Alu hypomethylation associated with breast cancer?,"['Yes, Alu elements were found to be hypomethylated in breast cancer, especially in the HER2-enriched subtype. Furthermore, Alu hypomethylation was identified as a late event during breast cancer progression, and in invasive breast cancer, tended to be associated with negative estrogen receptor status and poor disease-free survival of the patients.', 'Alu and LINE-1 hypomethylation is associated with HER2 enriched subtype of breast cancer  ']"
Which proteins participate in the formation of the ryanodine receptor quaternary macromolecular complex?,"['Junctin is a major transmembrane protein in cardiac junctional sarcoplasmic reticulum, which forms a quaternary complex with the ryanodine receptor (Ca(2+) release channel), triadin, and calsequestrin.   ', 'Calsequestrin (CSQ) is a Ca(2+) storage protein that interacts with triadin (TRN), the ryanodine receptor (RyR), and junctin (JUN) to form a macromolecular tetrameric Ca(2+) signaling complex in the cardiac junctional sarcoplasmic reticulum (SR). Junctin, calsequestrin, triadin, and the ryanodine receptor form a quaternary complex that may be required for normal operation of Ca2+ release.']"
What kind of chromatography is HILIC?,['Hydrophilic Interaction Chromatography (HILIC)']
What is the effect of TRH on myocardial contractility?,['TRH improves myocardial contractility']
Proteomic analyses need prior knowledge of the organism complete genome. Is the complete genome of the bacteria of the genus Arthrobacter available?,"['Yes, the complete genome sequence of Arthrobacter (two strains) is deposited in GenBank.']"
What is the structural fold of bromodomain proteins?,"['The structure fold of the bromodomains is an all-alpha-helical fold, which includes a left-handed four-helix bundle topology, with two short additional helices in a long connecting loop.']"
List the endoscopic diagnoses that have been reported in children with autism,"[""Endoscopic examinations in autistic children have been reported to show : I or II reflux esophagitis,  Achalasia, chronic gastritis and chronic duodenitis,  mild acute and chronic inflammation of the small bowel and colorectum and Ileo-colonic lymphoid nodular hyperplasia (LNH).  \nThe number of Paneth's cells in the duodenal crypts was found to be significantly elevated in autistic children compared with non-autistic control subjects. Low intestinal carbohydrate digestive enzyme activity was reported although there was no abnormality found in pancreatic function. Autistic children have ben reported to have an increased pancreatico-biliary fluid output after intravenous secretin administration.""]"
What are the outcomes of Renal sympathetic denervation?,"['Significant decreases and progressively higher reductions of systolic and diastolic blood pressure were observed after RSD. The complication rate was minimal.\nRenal sympathetic denervation also reduces heart rate, which is a surrogate marker of cardiovascular risk.']"
Which MAP kinase phosphorylates the transcription factor c-jun?,"['c-Jun is phosphorylated by c-Jun NH2-terminal kinase (JNK).', 'An in vitro kinase assay revealed that c-Jun phosphorylation is primarily mediated via activated c-Jun N-terminal protein kinase (JNK).']"
"What is the meaning of the acronym ""TAILS"" used in protein N-terminomics?","['TAILS stands for ""Terminal Amine Isotopic Labeling of Substrates""']"
Do mutations of AKT1 occur in meningiomas?,"['Yes, AKT1 mutation occurs in meningiomas.']"
What are the main indications of lacosamide?,"['Lacosamide is an anti-epileptic drug, licensed for refractory partial-onset seizures. In addition to this, it has demonstrated analgesic activity in various animal models. Apart from this, LCM has demonstrated potent effects in animal models for a variety of CNS disorders like schizophrenia and stress induced anxiety.']"
Which fusion protein is involved in the development of Ewing sarcoma?,"['Ewing sarcoma is the second most common bone malignancy in children and young adults. In almost 95% of the cases, it is driven by oncogenic fusion protein EWS/FLI1, which acts as an aberrant transcription factor, that upregulates or downregulates target genes, leading to cellular transformation.']"
List Hemolytic Uremic Syndrome Triad.,"['Hemolytic uremic syndrome (HUS) is a clinical syndrome characterized by the triad of anaemia, thrombocytopenia, renal failure.']"
Does physical activity influence gut hormones?,['Yes.']
What are the effects of depleting protein  km23-1 (DYNLRB1)  in a cell?,"['The knockdown of km23-1 results in numerous effects at the cellular level, such as decreased cell migration. Additionaly, km23-1 is involved in signalling pathways and its knockdown results in decreased RhoA activation, inhibition of TGFβ-mediated activation of ERK and JNK, phosphorylation of c-Jun, transactivation of the c-Jun promoter and decreased TGFbeta responses.']"
Treatment of which disease was investigated in the MR CLEAN study?,['Multicenter Randomized CLinical trial of Endovascular treatment for Acute ischemic stroke in the Netherlands (MR CLEAN) study investigated endovascular treatment for acute ischemic stroke.']
Which factors activate zygotic gene expression during the maternal-to-zygotic transition in zebrafish?,"['Nanog, Pou5f1 and SoxB1 activate zygotic gene expression during the maternal-to-zygotic transition. Maternal Nanog, Pou5f1 and SoxB1 are required to initiate the zygotic developmental program and induce clearance of the maternal program by activating miR-430 expression.']"
Is irritable bowel syndrome more common in women with endometriosis?,"['Yes, irritable bowel syndrome (IBS) is more common in women with endometriosis. It has been shown that 15% of the patients with endometriosis also had IBS. Women with endometriosis are more likely to have received a diagnosis of IBS. Endometriosis may coexist with or be misdiagnosed as IBS.']"
What is evaluated using the EORTC QLQ – INFO25 questionnaire?,"['The European Organisation for Research and Treatment of Cancer Quality of Life Group information questionnaire (EORTC QLQ-INFO 25) evaluates the level of information patients have received in different areas of their disease, treatment and care, and evaluates qualitative aspects together with satisfaction with information.']"
Does BNP increase after intensive exercise in athletes?,"['BNP and NTproBNP increase early after exercise in healthy athletes performing different types of sports. It is unknown the reason of this increase. The transient increases in BNP, NT-pro-BNP and troponin T are more likely to reflect myocardial stunning than cardiomyocyte damage.']"
What is the association of estrogen replacement therapy and intracranial meningioma risk?,"['The association between hormone replacement therapy and meningioma risk is controversial. Increased risk of meningioma was demonstrated in estrogen-only hormonal replacement therapy. However, other studies did not find an association between hormonal replacement therapy and meningioma risk.']"
Are there web based self management strategies for chronic pain ?,"['Results suggest the potential value of self-management for chronic pain patients and the potential acceptability of web-based delivery of intervention content.  ', 'Yes, there are successful web based self management strategies for chronic pain.']"
Is Weaver syndrome similar to Sotos?,"['Overgrowth conditions are a heterogeneous group of disorders characterised by increased growth and variable features, including macrocephaly, distinctive facial appearance and various degrees of learning difficulties and intellectual disability. Among them, Sotos and Weaver syndromes are clinically well defined and due to heterozygous mutations in NSD1 and EZH2, respectively. NSD1 and EZH2 are both histone-modifying enzymes', 'Constitutional NSD1 and EZH2 mutations cause Sotos and Weaver syndromes respectively, overgrowth syndromes with considerable phenotypic overlap. NSD1 and EZH2 are SET domain-containing histone methyltransferases that play key roles in the regulation of transcription through histone modification and chromatin modeling.']"
Which enzyme is targeted by Evolocumab?,['Evolocumab (AMG145) is a fully human monoclonal antibody to proprotein convertase subtilisin/kexin type 9 (PCSK9) that demonstrated marked reductions in plasma low-density lipoprotein cholesterol concentrations in statin-intolerant patients.']
Are ultraconserved elements often transcribed?,"['Yes.  Especially, a large fraction of non-exonic UCEs is transcribed across all developmental stages examined from only one DNA strand.']"
What is the methyl donor of DNA (cytosine-5)-methyltransferases?,"['S-adenosyl-L-methionine (AdoMet, SAM) is the methyl donor of DNA (cytosine-5)-methyltransferases. DNA (cytosine-5)-methyltransferases catalyze the transfer of a methyl group from S-adenosyl-L-methionine to the C-5 position of cytosine residues in DNA.']"
Is peripheral neuroepithelioma related to Ewing sarcoma?,"['Experimental data support the concept that Ewing sarcoma and peripheral neuroepithelioma are both peripheral primitive neuroectodermal neoplasms, differing only in the extent of neuroectodermal phenotype and morphological differentiation.']"
Which signaling pathway does sonidegib inhibit?,['Sonidegib is a Hedghog signalling pathway inhibitor.']
In which phase of the cell cycle arrest is impaired in Fanconi anemia?,"['In response to damage induced by DNA cross-linking agents, the S-phase checkpoint is inefficient in Fanconi anemia (FA) cells, leading to accumulation of secondary lesions, such as single- and double-strand breaks and gaps. The prolonged time in G2 phase seen in FA cells therefore exists in order to allow the cells to remove lesions which accumulated during the preceding abnormal S phase.']"
