title,abstract,year
"A single-blind, placebo-controlled trial of a simple acupuncture treatment in the cessation of smoking.","Tobacco smoking is a major cause of preventable disease and premature death. Physicians should play an active role in the control of smoking by encouraging cessation and helping the smoker to choose the most suitable aid to cessation. To evaluate a simple, ear acupuncture treatment for the cessation of smoking. Randomized, single-blind, placebo-controlled trial of 78 currently smoking volunteers from the general public. Volunteers attended an acupuncture clinic in a general practice setting and were given a single treatment of electroacupuncture using two needles at either an active or a placebo site plus self-retained ear seeds for two weeks. The major outcome measure was biochemically validated total cessation of smoking at six months. A total of 12.5% of the active treatment group compared with 0% of the placebo group ceased smoking at six months (P = 0.055, 95% confidence interval -0.033 to 0.323). This simple ear electroacupuncture treatment was significantly more effective in helping volunteers to quit smoking than placebo treatment.",1998
Pendred's syndrome: identification of the genetic defect a century after its recognition.,"Pendred's syndrome is an autosomal recessive disease characterized by goiter and congenital sensorineural deafness. Most patients with Pendred's syndrome are euthyroid, but the perchlorate test is positive indicating an impaired iodide organification. The sensorineural deafness is typically associated with a malformation of the inner ear, referred to as Mondini cochlea. The incidence of Pendred's syndrome is thought to be as high as 7.5 to 10 in 100,000 individuals, and it has been estimated to account for about 10% of the cases with hereditary deafness. Linkage of Pendred's syndrome to chromosome 7q22-31.1 was first established in 1996, and the Pendred's syndrome gene (PDS gene) was cloned in 1997. The PDS gene encodes pendrin, a highly hydrophobic 780 aminoacid protein with 11 transmembrane domains. Its function is unknown. Sequence comparison reveals a very high homology to several sulfate transporters suggesting that it could be a sulfate or anion transporter. A wide spectrum of mutations in the PDS gene has now been associated with Pendred's syndrome. Molecular analysis of the PDS gene is useful to make a definite diagnosis in familial and sporadic cases with Pendred's syndrome, and will be helpful for determining the true prevalence of this disorder.",1999
"Ocular findings in ichthyosis follicularis, atrichia, and photophobia syndrome.","Ichthyosis follicularis, atrichia, and photophobia (IFAP) are typical features of a rare neuroichthyosis termed IFAP syndrome. We demonstrate the ultrastructural findings of the eyes from a 33-year-old patient with IFAP syndrome. Clinically, eyebrows and eyelashes were absent from birth, and photophobia was noted at the age of 1 year. The globes measured 28 and 29 mm, respectively, and both eyes showed a posterior staphyloma. Histopathologically, bilateral centrally located subepithelial avascular corneal scarring with secondary corneal amyloid deposition was found. In addition to already described ocular abnormalities in IFAP syndrome we demonstrate ultrastructural anomalies of desmosomes and tonofilaments in corneal epithelium; defects of basement membrane, Bowman layer, and anchoring fibrils; secondary corneal amyloid deposition; and keratocyte degeneration. A defective tear film, recurrent atopic keratoconjunctival inflammations, or a primary anomaly of corneal epithelial adhesion are potential causes for the corneal defects. Photophobia is most likely due to corneal abnormalities.",1999
Structure and ligand of a histone acetyltransferase bromodomain.,"Histone acetylation is important in chromatin remodelling and gene activation. Nearly all known histone-acetyltransferase (HAT)-associated transcriptional co-activators contain bromodomains, which are approximately 110-amino-acid modules found in many chromatin-associated proteins. Despite the wide occurrence of these bromodomains, their three-dimensional structure and binding partners remain unknown. Here we report the solution structure of the bromodomain of the HAT co-activator P/CAF (p300/CBP-associated factor). The structure reveals an unusual left-handed up-and-down four-helix bundle. In addition, we show by a combination of structural and site-directed mutagenesis studies that bromodomains can interact specifically with acetylated lysine, making them the first known protein modules to do so. The nature of the recognition of acetyl-lysine by the P/CAF bromodomain is similar to that of acetyl-CoA by histone acetyltransferase. Thus, the bromodomain is functionally linked to the HAT activity of co-activators in the regulation of gene transcription.",1999
Molecular detection of EWS-FLI1 chimeric transcripts in Ewing family tumors by nested reverse transcription-polymerase chain reaction: application to archival paraffin-embedded tumor tissues.,"Chromosomal translocations generating unique chimeric genes are highly characteristic of specific sarcomas, and their use as diagnostic markers has been suggested. From a diagnostic pathologic point of view, detection of such cytogenetic or molecular aberrations applicable to routinely processed archival tissue specimens is considered a powerful tool for tumor diagnosis. To assess the feasibility and reliability of the molecular detection of the transcript originating from the chimeric gene in paraffin-embedded tumor specimens, we performed a nested reverse transcription-polymerase chain reaction (RT-PCR)-based assay to detect the EWS-FLI1 chimeric message in a series of Ewing family tumors. Of 24 paraffin-embedded tumor specimens from 23 cases analyzed, the chimeric message was detectable in 20 (83%) specimens from 20 cases (87%) by this nested RT-PCR assay, whereas none of 7 small round cell tumors not from this family (3 alveolar rhabdomyosarcomas, 2 neuroblastomas, 2 malignant lymphomas) showed detectable chimeric messages. In the sequence analysis of the PCR products, the amplified chimeric messages contained the junctions between exon 7 of the EWS gene and any one of exons 5, 6 and 8 of the FLI1 gene. The detection process was usually completed within 3 days, except for the subseqent sequence analysis. Our results endorse the use of this molecular assay as an ancillary technique in the diagnosis of Ewing family tumors using paraffin-embedded material.",1999
Linear lesions reflecting lyonization in women heterozygous for IFAP syndrome (ichthyosis follicularis with atrichia and photophobia).,"A diagnosis of IFAP (ichthyosis follicularis with atrichia and photophobia) syndrome was established in a 1-year-old boy with congenital hairlessness, generalized ichthyotic skin changes with follicular hyperkeratoses, and photophobia. IFAP syndrome is considered to be an X-linked recessive trait. The phenotype present in female carriers has so far not been delineated. A 2-year-old sister had atrophoderma and ichthyotic skin lesions arranged in a linear pattern and a large noncicatrical bald patch on her scalp. Similarly, the mother had linear lesions of scaling and atrophy as well as circumscribed hairless areas involving the scalp, the axillary region, and the lower legs. Sweat testing by means of iodine starch-reaction visualized hypohidrotic linear lesions corresponding to the areas of hyperkeratosis and atrophy. In both mother and daughter the lesions followed the lines of Blaschko, whereas the boy was diffusely affected. Family history showed that the boy's maternal uncle who had died at age 1 year was likewise affected with the same disorder. Moreover, the maternal grandmother had reportedly bald patches on her scalp and very dry skin. This is the first report to document linear skin lesions visualizing lyonization in women heterozygous for IFAP syndrome.",1999
"Concurrence of Pendred syndrome, autoimmune thyroiditis, and simple goiter in one family.","Pendred syndrome is the autosomal recessively transmitted association of familial goiter and congenital deafness. There is no specific biochemical marker of this disease, and the diagnosis depends upon the demonstration of the triad of congenital sensorineural hearing loss, goiter, and abnormal perchlorate discharge test. Pendred syndrome is caused by mutations within the putative ion transporter gene (PDS gene), located on chromosome 7q. A wide variation in the clinical presentation of this condition, and its well documented phenotypic overlap with other thyroid disorders (such as Hashimoto's thyroiditis), can lead to diagnostic difficulties. The potential for misdiagnosis increases when these disorders occur coincidentally in the same family. We describe a kindred in which Pendred syndrome, autoimmune thyroiditis, and simple goiter coexisted, to highlight these diagnostic pitfalls and to illustrate the use of mutational analysis in resolving diagnostic confusion.",1999
Androgen and epidermal growth factor down-regulate cyclin-dependent kinase inhibitor p27Kip1 and costimulate proliferation of MDA PCa 2a and MDA PCa 2b prostate cancer cells.,"Low levels of p27Kip1 in primary prostate cancer specimens have been shown to be associated with higher rates of disease recurrence and poor rates of disease-free survival in patients with localized disease. In this study, we provide the first direct evidence showing that dihydrotestosterone (DHT), a major proliferation regulator of prostate cancer, can down-regulate p27Kip1 and stimulate cyclin-dependent kinase-2 (CDK2) activity in established prostate cancer cell lines. We investigated the cooperative effects of DHT and epidermal growth factor (EGF) on the proliferation of androgen-responsive MDA PCa 2a and MDA PCa 2b prostate cancer cells. DHT and EGF each stimulated proliferation of these cells, but exposure of the cells to DHT and EGF together stimulated greater proliferation. Stimulation of cell proliferation by DHT and/or EGF was associated with increased CDK2 activity and a decreased level of p27Kip1. There seems to be a positive feedback stimulation loop between androgen-induced gene transcription and EGF-stimulated signal transduction, as one could stimulate the synthesis of the receptors for the other. Dual blockade of androgen receptor function with the antiandrogen hydroxyflutamide and EGF receptor superfamily-mediated signal transduction with the anti-EGF receptor monoclonal antibody C225 and the anti-HER2 receptor monoclonal antibody Herceptin significantly enhanced growth inhibition of the MDA PCa 2a cells. Our results demonstrate the importance of counteracting both androgen receptors and EGF receptors in the development of novel therapies for prostate cancer.",1999
Inheritance of a 38-kb fragment in apparently sporadic facioscapulohumeral muscular dystrophy.,"Facioscapulohumeral dystrophy (FSHD) is an autosomal-dominant muscular disorder associated with a short (<35 kb) EcoRI/BlnI fragment resulting from deletion of an integral number of units of a 3.3-kb repeat located at 4q35. In this study, we determined fragment sizes separated by pulsed-field gel electrophoresis in a patient with an apparently sporadic case of FSHD and in his healthy family members. A 38-kb fragment was detected in the proband, in his older brother, and in their father. This finding prompted a clinical reevaluation of the father and brother. A subclinical phenotype restricted to abdominal muscle weakness was detected, and serum creatine kinase values were found to be elevated in both. The proband's brother also showed evidence of an independently occurring subtelomeric rearrangement of 4q35, which normally occurs in about 20% of the population. The identification of a ""borderline"" 38-kb EcoRI/BlnI fragment in an affected subject and his very mildly affected relatives extends the size range of disease alleles and expands existing data on the variable intrafamilial expressivity of FSHD. This study highlights the importance of a careful molecular and clinical analysis extended to family members of apparently sporadic cases with larger EcoRI/BlnI fragments for accurate diagnosis and appropriate genetic counseling in FSHD.",1999
[Pendred syndrome as a cause of familial deafness].,"Pendred syndrome is an autosomal recessive disorder characterized by congenital deafness and goiter. The gene responsible for this syndrome is located on chromosome 7q31. The disorder is related to a defect in iodine organification, but the molecular basis of the defect remains unknown. We report two cases of Pendred syndrome, a young woman and her brother. The patients presented deafness, goiter that appeared in the prepubertal years, and a positive perchloriate discharge test. The genetic factors, clinical features, and diagnosis are reviewed.",1999
